ENSG00000000419___DPM1,1.044269
ENSG00000000938___FGR,1.017445
ENSG00000000971___CFAH,1.004794
ENSG00000001036___FUCO2,1.001708
ENSG00000001084___GSH1,0.995542
ENSG00000001167___NFYA,0.986461
ENSG00000001497___LAS1L,nan
ENSG00000001561___ENPP4,1.001459
ENSG00000001626___CFTR,1.002802
ENSG00000001630___CP51A,1.00089
ENSG00000002016___RAD52,1.001831
ENSG00000002330___BAD,0.979042
ENSG00000002586___CD99,1.005402
ENSG00000002587___HS3S1,1.000495
ENSG00000002726___AOC1,1.000649
ENSG00000002745___WNT16,1.006341
ENSG00000002746___HECW1,0.999028
ENSG00000002822___MD1L1,1.000925
ENSG00000003056___MPRD,0.96334
ENSG00000003096___KLH13,nan
ENSG00000003137___CP26B,1.001474
ENSG00000003393___ALS2,1.001972
ENSG00000003400___CASPA,0.993071
ENSG00000003436___TFPI1,0.999252
ENSG00000003509___NDUF7,0.993071
ENSG00000003756___RBM5,0.99246
ENSG00000003987___MTMR7,0.999629
ENSG00000003989___CTR2,0.994366
ENSG00000004139___SARM1,0.997855
ENSG00000004399___PLXD1,0.998164
ENSG00000004455___KAD2,0.992049
ENSG00000004468___CD38,1.002598
ENSG00000004478___FKBP4,0.988945
ENSG00000004487___KDM1A,1.002348
ENSG00000004660___KKCC1,0.997911
ENSG00000004777___RHG33,1.070756
ENSG00000004779___ACPM,1.025439
ENSG00000004799___PDK4,1.001817
ENSG00000004809___S22AG,0.916632
ENSG00000004846___ABCB5,1.002673
ENSG00000004864___CMC2,0.971701
ENSG00000004897___CDC27,1.003389
ENSG00000004939___B3AT,0.999325
ENSG00000004948___CALCR,0.995402
ENSG00000004975___DVL2,1.002198
ENSG00000005007___RENT1,0.995599
ENSG00000005020___SKAP2,1.005197
ENSG00000005022___ADT2,nan
ENSG00000005059___MCUB,1.001182
ENSG00000005075___RPB11,1.001516
ENSG00000005156___DNLI3,0.999662
ENSG00000005187___ACSM3,1.015006
ENSG00000005194___CPIN1,1.005669
ENSG00000005206___SPP2B,1.000991
ENSG00000005243___COPZ2,1.002216
ENSG00000005302___MS3L1,nan
ENSG00000005339___CBP,0.993571
ENSG00000005379___RIMB1,0.998173
ENSG00000005381___PERM,1.005036
ENSG00000005421___PON1,1.00013
ENSG00000005436___GCFC2,1.000372
ENSG00000005469___OCTC,1.011569
ENSG00000005471___MDR3,1.017286
ENSG00000005483___KMT2E,1.014167
ENSG00000005812___FBXL3,1.002687
ENSG00000005844___ITAL,1.012835
ENSG00000005882___PDK2,0.999805
ENSG00000005884___ITA3,0.994712
ENSG00000005893___LAMP2,nan
ENSG00000005961___ITA2B,1.028264
ENSG00000005981___ASB4,1.001976
ENSG00000006007___GDE1,0.995086
ENSG00000006016___CRLF1,0.830986
ENSG00000006025___OSBL7,1.00293
ENSG00000006062___M3K14,1.001829
ENSG00000006071___ABCC8,1.019592
ENSG00000006116___CCG3,1.021764
ENSG00000006118___T132A,1.008141
ENSG00000006125___AP2B1,0.999485
ENSG00000006128___TKN1,0.994688
ENSG00000006210___X3CL1,0.988659
ENSG00000006283___CAC1G,0.996164
ENSG00000006327___TNR12,0.995506
ENSG00000006451___RALA,1.006416
ENSG00000006459___KDM7A,0.999159
ENSG00000006534___AL3B1,1.007243
ENSG00000006607___FARP2,1.001234
ENSG00000006625___GGCT,0.996038
ENSG00000006634___DBF4A,1.002544
ENSG00000006638___TA2R,1.003961
ENSG00000006695___COX10,1.003863
ENSG00000006712___PAF1,0.993241
ENSG00000006740___RHG44,1.004404
ENSG00000006744___RNZ2,0.99949
ENSG00000006756___ARSD,nan
ENSG00000006757___PLPL4,nan
ENSG00000007001___UPP2,1.007769
ENSG00000007047___MARK4,1.00137
ENSG00000007168___LIS1,0.998708
ENSG00000007171___NOS2,0.989985
ENSG00000007216___S13A2,0.978762
ENSG00000007255___TPC6A,0.994595
ENSG00000007264___MATK,0.9857
ENSG00000007306___CEAM7,1.004879
ENSG00000007312___CD79B,1.003288
ENSG00000007372___PAX6,0.994475
ENSG00000007402___CA2D2,1.001596
ENSG00000007520___TSR3,0.999048
ENSG00000007541___PIGQ,1.004313
ENSG00000007866___TEAD3,1.000176
ENSG00000007908___LYAM2,1.000491
ENSG00000007923___DJC11,1.005264
ENSG00000007933___FMO3,0.943856
ENSG00000007944___MYLIP,1.003026
ENSG00000007952___NOX1,nan
ENSG00000008018___PSB1,1.206623
ENSG00000008083___JARD2,0.999319
ENSG00000008130___NADK,1.003282
ENSG00000008196___AP2B,0.999603
ENSG00000008256___CYH3,1.002607
ENSG00000008277___ADA22,0.998551
